detid,flow,city
BP2_D1,79.48178137651821,frankfurt
BP2_D2,138.1090909090909,frankfurt
BP2_D3,134.05714285714285,frankfurt
BP4_D1(1),309.1666666666667,frankfurt
BP4_D10(3),105.63706563706563,frankfurt
BP4_D2(1),370.57839721254356,frankfurt
BP4_D3(2),41.11210762331839,frankfurt
BP4_D4(2),89.4296577946768,frankfurt
BP4_D5(2),78.13533834586467,frankfurt
BP4_D6(4),66.89763779527559,frankfurt
BP4_D8(3),183.06474820143885,frankfurt
BP4_D9(3),194.29787234042553,frankfurt
FA6_D10,427.2167832167832,frankfurt
FA6_D11,217.81132075471697,frankfurt
FA6_D14,137.90551181102362,frankfurt
FA6_D15,192.0,frankfurt
FA6_D16,171.5909090909091,frankfurt
FA6_D17,409.0,frankfurt
FA6_D18,406.1666666666667,frankfurt
FA6_D19,256.90140845070425,frankfurt
FA6_D2,67.5,frankfurt
FA6_D24,408.375,frankfurt
FA6_D25,405.4583333333333,frankfurt
FA6_D27,407.8315789473684,frankfurt
FA6_D28,406.65263157894736,frankfurt
FA6_D29,412.625,frankfurt
FA6_D3,120.51985559566786,frankfurt
FA6_D30,409.875,frankfurt
FA6_D31,408.7108013937282,frankfurt
FA6_D32,406.4055944055944,frankfurt
FA6_D33,510.7916666666667,frankfurt
FA6_D34,501.75,frankfurt
FA6_D35,547.5833333333334,frankfurt
FA6_D36,550.7083333333334,frankfurt
FA6_D37,307.36170212765956,frankfurt
FA6_D38,307.1063829787234,frankfurt
FA6_D4,103.17131474103586,frankfurt
FA6_D5,83.27125506072875,frankfurt
FA6_D6,181.59139784946237,frankfurt
FA6_D7,123.05703422053232,frankfurt
FA6_D8,401.3286713286713,frankfurt
FA6_D9,571.125,frankfurt
G3_D1(KFZ1),306.7972027972028,frankfurt
G3_D2(KFZ1),254.67595818815332,frankfurt
G3_D3(KFZ2),44.883116883116884,frankfurt
G3_D4(KFZ2),56.557377049180324,frankfurt
G3_D5(KFZ3),42.61538461538461,frankfurt
HB1_D1,64.1470588235294,frankfurt
HB1_D13,266.4842105263158,frankfurt
HB1_D14,427.8333333333333,frankfurt
HB1_D15,247.5,frankfurt
HB1_D16,311.9583333333333,frankfurt
HB1_D17,79.10204081632654,frankfurt
HB1_D2,149.10104529616726,frankfurt
HB1_D3,114.58741258741259,frankfurt
HB1_D4,107.02127659574468,frankfurt
HB1_D5,220.75,frankfurt
HB1_D6,93.60885608856088,frankfurt
HB1_D7,59.900826446280995,frankfurt
HB1_D8,48.77272727272727,frankfurt
HB4_D1(KFZ4),105.76842105263158,frankfurt
HB4_D2(KFZ4),94.71586715867159,frankfurt
MUE3_D2(KFZ),57.38931297709924,frankfurt
MUE3_D3(KFZ),32.25806451612903,frankfurt
PR1_D1,115.23344947735191,frankfurt
PR1_D10,308.07042253521126,frankfurt
PR1_D11,272.5296167247387,frankfurt
PR1_D2,214.125,frankfurt
PR1_D3,169.2,frankfurt
PR1_D4,410.0833333333333,frankfurt
PR1_D5,389.625,frankfurt
PR1_D6,293.81184668989545,frankfurt
PR1_D7,268.6993006993007,frankfurt
PR1_D8,376.7247386759582,frankfurt
PR1_D9,495.7083333333333,frankfurt
PR3_D1(KFZ1),505.125,frankfurt
PR3_D2(KFZ1),438.2083333333333,frankfurt
PR3_D3(KFZ2),84.0,frankfurt
SD_D1(KFZ1),206.47970479704796,frankfurt
SD_D2(KFZ2),130.27338129496403,frankfurt
SD_D3(KFZ3),188.4,frankfurt
SHO_D1(KFZ1),191.64312267657994,frankfurt
SHO_D2(KFZ4),144.6451612903226,frankfurt
STA1_D1(KFZ4),514.0,frankfurt
STA1_D2(KFZ4),576.7083333333334,frankfurt
STA1_D8(KFZ5),99.79411764705883,frankfurt
STA1_D9(KFZ5),99.85559566787003,frankfurt
STA2_D2(KFZ4),161.12455516014234,frankfurt
STA2_D3(KFZ4),131.33596837944663,frankfurt
STA2_D4(KFZ4),70.7949790794979,frankfurt
STA2_D5(KFZ3),130.4470588235294,frankfurt
STA2_D6(KFZ3),288.93950177935943,frankfurt
STA2_D7(KFZ3),327.7083333333333,frankfurt
STA2_D8(KFZ3),113.25301204819277,frankfurt
STA4_D1(KFZ1),184.13937282229966,frankfurt
