name,osmid,highway,oneway,length,bridge,geometry,maxspeed,lanes,ref,junction,tunnel,access,u,v,key,list?,detid
's-Gravenweg,"[311806104, 311806106, 321898179]",residential,False,88.31100000000002,yes,"LINESTRING (4.5245155 51.9239184, 4.5241229 51.9233084, 4.5240901 51.9232597, 4.5240685 51.9232275, 4.5240493 51.923186, 4.5240462 51.9231791)",,,,,,,44417024,771255062,0,False,
Frans Bekkerstraat,7514536,residential,False,61.119,,"LINESTRING (4.4652729 51.8918, 4.466131 51.8916528)",,,,,,,44269570,44269098,0,False,
Frans Bekkerstraat,7515679,residential,False,76.83500000000001,,"LINESTRING (4.4652729 51.8918, 4.4649647 51.8921805, 4.4648433 51.8923197, 4.4647917 51.8924224)",50,,,,,,44269570,963879003,0,False,
Verboomstraat,"[7515714, 7515628]",residential,False,145.552,,"LINESTRING (4.4652729 51.8918, 4.465284 51.8917721, 4.4652824 51.8917403, 4.4648968 51.891141, 4.4645496 51.8905767)",50,,,,,,44269570,44262667,0,False,
Schultz van Hagenstraat,7319072,residential,False,48.438,,"LINESTRING (4.5287224 51.9238489, 4.5284833 51.923439)",,,,,,,44417028,44412933,0,False,
Schultz van Hagenstraat,7319187,residential,True,80.374,,"LINESTRING (4.5287224 51.9238489, 4.5287822 51.9238522, 4.5288107 51.9238615, 4.5288392 51.9238814, 4.5289007 51.9239408, 4.529016 51.9241324, 4.5291754 51.9243962, 4.529179 51.9244184, 4.5291578 51.9244443, 4.5291243 51.9244683)",,,,,,,44417028,5491722743,0,False,
Klompéstraat,7315248,residential,False,10.742,,"LINESTRING (4.5556021 51.9333261, 4.5555627 51.9334196)",30,,,,,,44466181,44466819,0,False,
Rietkerkweg,7311425,residential,True,108.209,,"LINESTRING (4.5556021 51.9333261, 4.5563447 51.9334468, 4.5571283 51.9335741)",30,,,,,,44466181,1115362413,0,False,
Lichtenauerlaan,7316063,unclassified,True,25.683,,"LINESTRING (4.5344648 51.9238906, 4.534311 51.92368)",50,,,,,,44417032,44416103,0,False,
Boergoensestraat,7514485,residential,True,102.414,,"LINESTRING (4.4703381 51.8917898, 4.4702805 51.8917386, 4.4695891 51.8911478, 4.4694658 51.8910425)",30,,,,,,44269577,44265873,0,False,
Bergweg,102491180,tertiary,True,23.009999999999998,,"LINESTRING (4.4795161 51.9389602, 4.4795269 51.939004, 4.4795523 51.9390995, 4.4795449 51.9391652)",,,,,,,6490718219,2736346238,0,False,
Bergweg,691653350,tertiary,False,54.730999999999995,,"LINESTRING (4.4795161 51.9389602, 4.4795698 51.9387041, 4.4796226 51.9384724)",,,,,,,6490718219,6486269733,0,False,
,7315057,residential,False,35.377,,"LINESTRING (4.5525434 51.9238523, 4.5530479 51.9237858)",,,,,,,44417036,44416562,0,False,
"['Martinus Burkensstraat', 'Pieter van der Wallenstraat']","[7315045, 7314958]",residential,False,127.547,,"LINESTRING (4.5525434 51.9238523, 4.5526111 51.9240735, 4.5528185 51.9246082, 4.5528332 51.9246254, 4.5528495 51.9246376, 4.5528724 51.9246499, 4.5529025 51.9246562, 4.5533775 51.924714)",,,,,,,44417036,44421114,0,True,
Martinus Burkensstraat,7315045,residential,False,100.227,,"LINESTRING (4.5525434 51.9238523, 4.5523947 51.9234268, 4.5522279 51.9229722)",,,,,,,44417036,44412361,0,False,
Boelstraat,7514267,residential,True,70.394,,"LINESTRING (4.4881871 51.8917165, 4.4886151 51.8916229, 4.4889697 51.8915364, 4.4891501 51.8914988)",30,1,,,,,44269585,44268087,0,False,
"['Bonaventurastraat', 'Maasdamstraat']","[7514456, 7514457, 7514407]",residential,True,205.778,,"LINESTRING (4.4881871 51.8917165, 4.4882215 51.8917763, 4.4883271 51.8919025, 4.4884525 51.8920472, 4.4885383 51.8921326, 4.4888737 51.8924372, 4.4893508 51.8928586, 4.489374 51.892868, 4.4894062 51.8928733, 4.4894447 51.8928731, 4.4896657 51.8928074, 4.4899293 51.8927276, 4.490082 51.8926832)",30,1,,,,,44269585,44274230,0,True,
Zwart Janstraat,7522523,residential,False,137.215,,"LINESTRING (4.4749606 51.9342864, 4.4767847 51.9337786)",30,,,,,,5995593745,44468371,0,False,
Zwart Janstraat,635663928,residential,True,20.986,,"LINESTRING (4.4749606 51.9342864, 4.4749135 51.9343142, 4.474863 51.9343472, 4.4748166 51.9343699, 4.4747292 51.9344091)",30,,,,,,5995593745,2725777368,0,False,
